Year,D2Area,,,,arizona area ,california,colorado area,area nevada,new mexico,utah ,wyoming ,total
1979,0.00487395,,,,113998,163696,104185,110567,121697,84899,97914,796956
1980,0.061005284,,,,,,,,,,,
1981,0.017254434,,,,1985,0.230747819,,1979,0.00487395,,,
1984,0.045597015,,,,1986,0.001082769,,1980,0.061005284,,,
1985,0.231,,,,1987,0.027079367,,1981,0.017254434,,,
1986,0.001,,,,1988,0.137975046,,1984,0.045597015,,,
1987,0.027,,,,1989,0.274650928,,,,,,
1988,0.138,,,,1990,0.00769748,,1993,0.002250823,,,
1989,0.275,,,,1992,0.094831639,,,,,,
1990,0.008,,,,1997,0.041162089,,,,,,
1992,0.094831639,,,,1998,0.008,,2010,0.005,,,
1993,0.002250823,,,,1999,0.012,,2011,0.225,,,
1997,0.041162089,,,,2000,0.08,,2012,0.684,,,
1998,0.008,,,,2001,0.144,,2013,0.733,,,
1998,0.008,,,,2002,0.657,,2014,0.523,,,
1998,0.008,,,,2003,0.69,,2015,0.33,,,
1998,0.008,,,,2004,0.6,,2016,0.162,,,
1999,0.012,,,,2005,0.06,,2017,0.002,,,
1999,0.012,,,,2006,0.189,,2018,0.44,,,
1999,0.012,,,,2007,0.504,,2019,0.004,,,
1999,0.012,,,,2008,0.13,,2020,0.498,,,
1999,0.012,,,,2009,0.098,,,,,,
2000,0.08,,,,,,,,,,,
2000,0.08,,,,,,,,,,,
2000,0.08,,,,,,,,,,,
2000,0.08,,,,,,,,,,,
2000,0.08,,,,,,,,,,,
2000,0.08,,,,,,,,,,,
2001,0.144,,,,,,,,,,,
2001,0.144,,,,,,,,,,,
2001,0.144,,,,1979,1,,,,,,
2001,0.144,,,,1980,1,,,,,,
2001,0.144,,,,1981,1,,,,,,
2001,0.144,,,,1984,1,,,,,,
2001,0.144,,,,1985,1,,,,,,
2001,0.144,,,,1986,1,,,,,,
2001,0.144,,,,1987,1,,,,,,
2001,0.144,,,,1988,1,,,,,,
2002,0.657,,,,1989,1,,,,,,
2002,0.657,,,,1990,1,,,,,,
2002,0.657,,,,1992,1,,,,,,
2002,0.657,,,,1993,1,,,,,,
2002,0.657,,,,1997,1,,,,,,
2002,0.657,,,,1998,4,,,,,,
2002,0.657,,,,1999,5,,,,,,
2002,0.657,,,,2000,6,,,,,,
2002,0.657,,,,2001,10,,,,,,
2002,0.657,,,,2002,15,,,,,,
2002,0.657,,,,2003,21,,,,,,
2002,0.657,,,,2004,41,,,,,,
2002,0.657,,,,2005,49,,,,,,
2002,0.657,,,,2006,48,,,,,,
2002,0.657,,,,2007,55,,,,,,
2003,0.69,,,,2008,56,,,,,,
2003,0.69,,,,2009,57,,,,,,
2003,0.69,,,,2010,58,,,,,,
2003,0.69,,,,2011,66,,,,,,
2003,0.69,,,,2012,67,,,,,,
2003,0.69,,,,2013,70,,,,,,
2003,0.69,,,,2014,67,,,,,,
2003,0.69,,,,2015,71,,,,,,
2003,0.69,,,,2016,68,,,,,,
2003,0.69,,,,2017,69,,,,,,
2003,0.69,,,,2018,69,,,,,,
2003,0.69,,,,2019,69,,,,,,
2003,0.69,,,,2020,73,,,,,,
2003,0.69,,,,,,,,,,,
2003,0.69,,,,,,,,,,,
2003,0.69,,,,,,,,,,,
2003,0.69,,,,,,,,,,,
2003,0.69,,,,,,,,,,,
2003,0.69,,,,,,,,,,,
2003,0.69,,,,,,,,,,,
2003,0.69,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2004,0.6,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2005,0.06,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2006,0.189,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2007,0.504,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2008,0.13,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2009,0.098,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
2010,0.005,,,,,,,,,,,
