year,site,latitude,longitude,month,airT,precip,snowDepth,SWE,streamFlow
1979,Brown Duck,40.58102,-110.58587,1,-18,4,42,7.8,19.90
1979,Brown Duck,40.58102,-110.58587,2,-5,3.8,53,11.8,20.00
1979,Brown Duck,40.58102,-110.58587,3,7,3.9,58,15.6,19.40
1979,Brown Duck,40.58102,-110.58587,4,-6,1,65,19.5,29.10
1979,Brown Duck,40.58102,-110.58587,5,14,2,71,20.5,253.50
1980,Brown Duck,40.58102,-110.58587,1,13,12.2,19,5,19.90
1980,Brown Duck,40.58102,-110.58587,2,2,4.9,56,16.5,19.90
1980,Brown Duck,40.58102,-110.58587,3,-2,2.4,67,20.9,19.80
1980,Brown Duck,40.58102,-110.58587,4,-6,2.6,80,23.3,38.40
1980,Brown Duck,40.58102,-110.58587,5,20,5,84,25.8,141.90
1981,Brown Duck,40.58102,-110.58587,1,22,1.9,17,6,30.50
1981,Brown Duck,40.58102,-110.58587,2,8,1.4,32,7.9,28.10
1981,Brown Duck,40.58102,-110.58587,3,12,7.1,42,9.3,25.10
1981,Brown Duck,40.58102,-110.58587,4,15,1.1,57,15.9,53.20
1981,Brown Duck,40.58102,-110.58587,5,37,3.9,49,12.4,191.70
1984,Brown Duck,40.58102,-110.58587,1,7,1.3,58,13.4,395.00
1984,Brown Duck,40.58102,-110.58587,2,26,2,63,14.7,30.90
1984,Brown Duck,40.58102,-110.58587,3,19,2.4,69,16.6,25.30
1984,Brown Duck,40.58102,-110.58587,4,18,3.9,75,19,33.20
1984,Brown Duck,40.58102,-110.58587,5,19,1.3,84,21.5,391.00
1985,Bison Lake,39.76487,-107.35681,1,43,5,0,0,2.21
1985,Bison Lake,39.76487,-107.35681,2,17,17.7,17,4.6,1.90
1985,Bison Lake,39.76487,-107.35681,3,15,4.6,52,22.3,1.87
1985,Bison Lake,39.76487,-107.35681,4,19,2.5,59,26.9,6.18
1985,Bison Lake,39.76487,-107.35681,5,16,9.9,68,28.8,43.80
1986,Bison Lake,39.76487,-107.35681,1,19,2.5,57,26.9,1.31
1986,Bison Lake,39.76487,-107.35681,2,16,9.9,62,28.8,1.13
1986,Bison Lake,39.76487,-107.35681,3,25,4.6,71,38.7,1.31
1986,Bison Lake,39.76487,-107.35681,4,28,5.8,76,43.3,34.50
1986,Bison Lake,39.76487,-107.35681,5,36,3.8,72,49.1,43.80
1987,Bison Lake,39.76487,-107.35681,1,13,4.3,36,11.9,1.67
1987,Bison Lake,39.76487,-107.35681,2,16,3,54,16.1,1.21
1987,Bison Lake,39.76487,-107.35681,3,18,4.7,62,19.1,0.97
1987,Bison Lake,39.76487,-107.35681,4,31,2,70,23.8,10.90
1987,Bison Lake,39.76487,-107.35681,5,37,3.7,73,25,75.90
1988,Bison Lake,39.76487,-107.35681,1,10,7.3,21,6.8,0.13
1988,Bison Lake,39.76487,-107.35681,2,16,3.2,43,14.1,0.00
1988,Bison Lake,39.76487,-107.35681,3,16,4.8,50,17.3,0.00
1988,Bison Lake,39.76487,-107.35681,4,29,5.4,52,22.1,0.16
1988,Bison Lake,39.76487,-107.35681,5,36,2.7,61,27.5,33.80
1989,Bison Lake,39.76487,-107.35681,1,12,3.8,45,12.2,0.16
1989,Bison Lake,39.76487,-107.35681,2,13,7.4,51,15.9,0.02
1989,Bison Lake,39.76487,-107.35681,3,25,4.9,62,23.3,0.00
1989,Bison Lake,39.76487,-107.35681,4,31,2.4,69,28.2,1.03
1989,Bison Lake,39.76487,-107.35681,5,37,1.9,64,28.1,64.40
1990,Bison Lake,39.76487,-107.35681,1,13,5,26,6,0.01
1990,Bison Lake,39.76487,-107.35681,2,14,4.2,31,11,0.00
1990,Bison Lake,39.76487,-107.35681,3,22,4.9,44,15.2,0.00
1990,Bison Lake,39.76487,-107.35681,4,30,4.3,52,20.1,0.04
1990,Bison Lake,39.76487,-107.35681,5,35,2.2,55,23.7,25.50
1992,Beartown,37.71409,-107.51212,1,10,1.7,27,10,13.80
1992,Beartown,37.71409,-107.51212,2,15,2.6,36,10.7,15.70
1992,Beartown,37.71409,-107.51212,3,17,3.3,41,13.3,18.60
1992,Beartown,37.71409,-107.51212,4,18,0.9,59,16.6,66.40
1992,Beartown,37.71409,-107.51212,5,34,5.4,23,9.9,304.20
1993,Beartown,37.71409,-107.51212,1,11,6,28,10.5,16.30
1993,Beartown,37.71409,-107.51212,2,16,10.5,39,16.5,16.50
1993,Beartown,37.71409,-107.51212,3,16,2.2,51,27,21.60
1993,Beartown,37.71409,-107.51212,4,7,4.9,53,27.8,39.60
1993,Beartown,37.71409,-107.51212,5,21,3.5,65,32.7,383.10
1997,Red Mountain Pass,37.8918,-107.71342,1,19,7.1,60,15.9,23.80
1997,Red Mountain Pass,37.8918,-107.71342,2,28,4.2,79,23,22.80
1997,Red Mountain Pass,37.8918,-107.71342,3,-8,2.1,95,27.2,30.50
1997,Red Mountain Pass,37.8918,-107.71342,4,10,6.6,98,28,48.30
1997,Red Mountain Pass,37.8918,-107.71342,5,32,3.3,73,34.3,229.90
1998,Wolf Creek Summit,37.47922,-106.8017,1,21,3.5,39,12.9,74.70
1998,Wolf Creek Summit,37.47922,-106.8017,2,7,4.2,50,15.9,66.70
1998,Wolf Creek Summit,37.47922,-106.8017,3,-2,12,68,20.1,229.60
1998,Wolf Creek Summit,37.47922,-106.8017,4,13,5.3,99,32.1,483.20
1998,Wolf Creek Summit,37.47922,-106.8017,5,32,1.4,83,35.3,1454.00
1998,Dry Lake,40.53397,-106.7813,1,17,6.4,25,5.2,190.00
1998,Dry Lake,40.53397,-106.7813,2,17,5.2,48,11.6,175.70
1998,Dry Lake,40.53397,-106.7813,3,5,4.1,63,16.8,260.20
1998,Dry Lake,40.53397,-106.7813,4,15,4.4,55,18.9,767.80
1998,Dry Lake,40.53397,-106.7813,5,33,1.6,30,13.8,1893.00
